year,franchID,Last Year Rank,Last Year Playoff,Last Year W%,Last Year l%,Last Year Points,Last Year GF,Last Year GA,Last Year PIM,EGF,EPPG,EPIM,NewCoach,NumGoalies,EGA,NumPicks,HighPick,Playoff
1977,WAS,4,0,0.525,0.3,62,195,321,1231,215,38,1207,1,3,304,1,3,0
1991,NJD,4,1,0.4125,0.4,79,289,259,2024,268,69,1968,1,4,258,2,3,1
1990,DET,5,0,0.475,0.35,70,273,298,2140,262,53,1754,0,6,317,1,3,1
2007,PHO,5,0,0.56097561,0.37804878,67,214,231,1445,185,61,1309,0,4,277,2,3,0
2011,FLO,5,0,0.487804878,0.365853659,72,203,227,716,176,33,641,1,4,213,1,3,1
1992,SJS,6,0,0.725,0.2125,39,218,414,1894,187,56,1243,1,4,349,2,3,0
1972,VAN,7,0,0.641025641,0.256410256,48,233,339,1092,158,40,691,1,4,294,1,3,0
1995,LAK,4,0,0.479166667,0.333333333,41,256,302,978,140,35,938,0,3,167,1,3,0
2006,CHI,4,0,0.524390244,0.317073171,65,201,258,1544,199,49,1445,0,4,273,1,3,0
2002,FLO,4,0,0.536585366,0.268292683,60,176,237,1994,175,50,1772,0,2,242,2,3,0
1979,DET,5,0,0.5125,0.2875,62,268,306,1359,244,75,1323,1,2,292,1,3,0
1985,NJD,5,0,0.6,0.275,54,300,374,1282,258,70,1176,0,5,339,1,3,0
1986,NJD,6,0,0.6125,0.35,59,293,368,1424,298,70,1346,0,5,370,1,3,0
1996,NYI,7,0,0.609756098,0.268292683,54,240,250,1669,216,69,1452,0,3,309,1,3,0
1971,STL,2,1,0.320512821,0.435897436,87,208,247,1092,214,56,1040,1,5,207,1,4,1
2009,WPG,4,0,0.5,0.426829268,76,234,256,1256,242,68,1208,1,2,270,1,4,0
1989,PHO,5,0,0.525,0.325,64,298,290,1843,289,77,1682,0,4,346,1,4,1
2003,CBS,5,0,0.512195122,0.353658537,69,177,238,1505,204,71,1411,0,3,259,1,4,0
2010,CBS,5,0,0.426829268,0.390243902,79,215,258,1086,214,56,1048,0,3,246,1,4,0
1988,PIT,6,0,0.4375,0.45,81,347,349,2211,304,105,2013,0,5,312,1,4,1
1998,VAN,7,0,0.524390244,0.304878049,64,192,258,2166,223,48,2139,0,3,268,1,4,0
1980,LAK,2,1,0.45,0.375,74,337,290,1124,265,77,910,1,5,306,2,4,1
1978,VAN,3,0,0.5375,0.25,57,217,291,962,228,55,890,0,3,317,1,4,1
1982,PHI,3,1,0.3875,0.475,87,326,240,2493,317,79,2317,0,4,307,1,4,1
2001,FLO,3,0,0.463414634,0.268292683,66,180,250,1509,184,44,1352,0,3,237,2,4,0
1975,DAL,4,0,0.625,0.2875,53,195,303,1106,200,42,1058,0,3,336,1,4,0
1976,DET,4,0,0.55,0.325,62,183,309,1922,212,44,1834,1,3,295,1,4,0
1987,LAK,4,1,0.5125,0.3875,70,318,359,2038,304,93,1949,0,3,332,1,4,1
1999,NYR,4,0,0.463414634,0.402439024,77,218,246,1087,202,67,907,1,4,219,2,4,0
1983,DET,5,0,0.55,0.2625,57,298,323,1064,206,30,917,0,4,337,1,4,1
2008,STL,5,0,0.43902439,0.402439024,79,233,233,1153,195,46,1080,0,5,223,1,4,1
1973,TOR,6,0,0.525641026,0.346153846,64,274,230,716,246,44,678,0,3,278,3,4,1
1994,EDM,6,0,0.535714286,0.297619048,64,136,183,1858,258,73,1774,1,3,297,2,4,0
1997,NYI,7,0,0.5,0.353658537,70,212,225,1640,226,47,1496,1,3,242,2,4,0
1974,NYI,8,0,0.525641026,0.243589744,56,264,221,1075,182,32,1069,0,2,241,1,4,1
1972,MTL,3,1,0.205128205,0.58974359,108,329,184,783,294,69,733,0,3,203,4,4,1
1977,VAN,4,0,0.525,0.3125,63,239,320,1078,230,50,900,1,4,288,1,4,0
2007,LAK,4,0,0.5,0.329268293,68,231,266,1239,220,81,1187,1,7,269,1,4,0
2011,NJD,4,0,0.475609756,0.463414634,81,228,209,765,168,34,633,1,2,201,1,4,1
1984,TOR,5,0,0.5625,0.325,61,253,358,1682,267,73,1347,0,4,381,1,4,0
1992,COL,5,0,0.6,0.25,52,351,300,2044,240,61,1693,0,3,311,1,4,1
1990,PHI,6,0,0.4875,0.375,71,252,267,2067,285,64,2023,0,4,289,1,4,0
1991,NYI,6,0,0.5625,0.3125,60,291,299,1723,223,51,1703,0,4,283,1,4,0
2002,PHI,1,1,0.329268293,0.512195122,97,211,166,1242,233,39,1196,0,2,185,1,4,1
1979,WAS,4,0,0.5125,0.3,63,261,293,1312,259,54,1183,1,3,334,1,4,0
1985,VAN,5,0,0.575,0.3125,59,282,333,1451,252,61,1312,0,3,394,1,4,1
1986,PIT,5,0,0.475,0.425,76,297,290,1538,311,93,1480,1,4,292,1,4,0
2006,WAS,5,0,0.5,0.353658537,70,235,286,1499,219,67,1307,0,3,291,2,4,0
1995,ANA,6,0,0.5625,0.333333333,37,234,247,731,111,21,671,0,2,158,1,4,0
1996,WAS,4,1,0.390243902,0.475609756,89,214,231,1553,234,63,1539,1,3,199,2,4,0
1971,BUF,5,0,0.5,0.307692308,63,203,289,1188,207,55,912,0,2,286,1,5,0
1989,NJD,5,0,0.5125,0.3375,66,295,288,2499,269,80,2316,0,2,315,2,5,1
2003,BUF,5,0,0.451219512,0.329268293,72,220,221,1276,190,51,1238,0,3,211,1,5,0
2009,LAK,5,0,0.451219512,0.414634146,79,241,219,1207,200,69,1101,0,3,215,1,5,1
2010,NYI,5,0,0.451219512,0.414634146,79,229,264,950,212,49,879,0,6,254,2,5,0
1998,ANA,6,0,0.524390244,0.317073171,65,215,206,1843,199,43,1746,0,3,252,1,5,1
1974,MTL,2,1,0.307692308,0.576923077,99,374,225,761,260,43,686,0,2,237,5,5,1
